id,X,Y,Year,Operator
a1,337859.8,6372415.5,2010,Malone
a2,340884.8,6380690.5,2010,Malone
a4,341834.8,6365965.5,2010,Malone
a6,339859.8,6369065.5,2010,Malone
a7,340984.8,6368240.5,2010,Malone
a10,344059.8,6376715.5,2010,Malone
a11,347034.8,6372740.5,2010,Malone
a12,338234.8,6368765.5,2010,Malone
a13,341759.8,6366015.5,2010,Malone
a15,337334.8,6371090.5,2010,Malone
a17,348284.8,6377215.5,2010,Malone
a18,341759.8,6365340.5,2010,Malone
a19,343284.8,6369715.5,2010,Malone
a21,343634.8,6377115.5,2010,Malone
a22,341384.8,6375915.5,2010,Malone
a23,350959.8,6374590.5,2010,Malone
a24,347909.8,6375165.5,2010,Malone
a25,346934.8,6370115.5,2010,Malone
a26,337459.8,6372390.5,2010,Malone
a27,339259.8,6368940.5,2010,Malone
a28,336959.8,6381315.5,2010,Malone
a29,349359.8,6374915.5,2010,Malone
a30,340859.8,6368090.5,2010,Malone
a32,338309.8,6371840.5,2010,Malone
a34,346584.8,6370215.5,2010,Malone
b1,338159.8,6374115.5,2010,Malone
b4,343259.8,6377265.5,2010,Malone
b6,341059.8,6368390.5,2010,Malone
b9,336309.8,6382340.5,2010,Malone
b11,337534.8,6374215.5,2010,Malone
b12,343509.8,6376865.5,2010,Malone
b13,339659.8,6365515.5,2010,Malone
b14,340084.8,6365190.5,2010,Malone
b15,342484.8,6366240.5,2010,Malone
b16,337784.8,6382190.5,2010,Malone
b18,348409.8,6371065.5,2010,Malone
b19,341534.8,6373090.5,2010,Malone
b20,342109.8,6379165.5,2010,Malone
b21,342234.8,6366890.5,2010,Malone
b22,341409.8,6366490.5,2010,Malone
b24,341434.8,6372465.5,2010,Malone
b25,338184.8,6374040.5,2010,Malone
b26,341559.8,6373190.5,2010,Malone
b27,342484.8,6372040.5,2010,Malone
b28,338734.8,6372215.5,2010,Malone
b29,339259.8,6377290.5,2010,Malone
b30,339559.8,6374740.5,2010,Malone
b33,341159.8,6375515.5,2010,Malone
b38,343184.8,6368815.5,2010,Malone
b40,337409.8,6374340.5,2010,Malone
c3,344684.8,6376565.5,2010,Malone
c4,339834.8,6378765.5,2010,Malone
c7,345784.8,6372990.5,2010,Malone
c10,340359.8,6380415.5,2010,Malone
c11,337509.8,6377215.5,2010,Malone
c14,346359.8,6379615.5,2010,Malone
c15,346409.8,6373990.5,2010,Malone
c17,345734.8,6377215.5,2010,Malone
c19,346534.8,6371265.5,2010,Malone
c22,338609.8,6377715.5,2010,Malone
c23,339484.8,6368740.5,2010,Malone
c25,346684.8,6373615.5,2010,Malone
c26,347234.8,6372790.5,2010,Malone
c27,346034.8,6374090.5,2010,Malone
c28,337709.8,6379515.5,2010,Malone
c29,344859.8,6378590.5,2010,Malone
c30,338984.8,6370915.5,2010,Malone
c35,338434.8,6365765.5,2010,Malone
c37,338534.8,6369090.5,2010,Malone
c38,343959.8,6377790.5,2010,Malone
c39,338659.8,6365840.5,2010,Malone
c43,341709.8,6374965.5,2010,Malone
c44,346609.8,6376140.5,2010,Malone
c45,345684.8,6377115.5,2010,Malone
c46,344784.8,6378415.5,2010,Malone
d2,343784.8,6374765.5,2010,Malone
d3,343584.8,6374640.5,2010,Malone
d4,339584.8,6365090.5,2010,Malone
d5,342159.8,6369690.5,2010,Malone
d39,349134.8,6374915.5,2010,Malone
d7,345134.8,6374615.5,2010,Malone
d8,345584.8,6373590.5,2010,Malone
d9,335159.8,6377865.5,2010,Malone
d10,335859.8,6377465.5,2010,Malone
d13,339234.8,6374215.5,2010,Malone
d15,336234.8,6376390.5,2010,Malone
d16,337659.8,6368940.5,2010,Malone
d20,337484.8,6382815.5,2010,Malone
d38,345059.8,6373865.5,2010,Malone
d25,337059.8,6377040.5,2010,Malone
d26,336934.8,6376865.5,2010,Malone
d27,337434.8,6382140.5,2010,Malone
d28,338284.8,6369315.5,2010,Malone
d29,336709.8,6377590.5,2010,Malone
d30,344234.8,6377590.5,2010,Malone
d31,336134.8,6376915.5,2010,Malone
d32,341334.8,6366715.5,2010,Malone
d33,338009.8,6368765.5,2010,Malone
d35,338109.8,6377765.5,2010,Malone
d37,338859.8,6377690.5,2010,Malone
HV001,348990.664,6372944.51,2004,Odgers
HV003,338959.884,6378286.44,2004,Odgers
HV005,348590.781,6378889.31,2004,Odgers
HV006,347985.863,6371993.14,2004,Odgers
HV008,344132.997,6378284.7,2004,Odgers
HV009,339030.923,6373388.87,2004,Odgers
HV010,339928.142,6375391.94,2004,Odgers
HV011,349330.334,6374884.88,2004,Odgers
HV013,337922.534,6374182.65,2004,Odgers
HV014,343505.97,6382383.77,2004,Odgers
HV015,345282.568,6376886.46,2004,Odgers
HV016,335365.931,6377181.64,2004,Odgers
HV017,344510.827,6378582.29,2004,Odgers
HV018,347851.932,6373089.01,2004,Odgers
HV019,341329.106,6367390.45,2004,Odgers
HV021,339027.844,6379183.65,2004,Odgers
HV023,337858.278,6367290.92,2004,Odgers
HV024,339564.908,6379194.56,2004,Odgers
HV025,341206.91,6365377.76,2004,Odgers
HV026,343966.3,6368391.71,2004,Odgers
HV027,340205.272,6379894.71,2004,Odgers
HV028,335527.802,6378784.72,2004,Odgers
HV029,343977.801,6376587.67,2004,Odgers
HV030,343225.631,6373591.4,2004,Odgers
HV032,341071.03,6370691.3,2004,Odgers
HV033,340857.951,6370484.92,2004,Odgers
HV034,349158.662,6376992.7,2004,Odgers
HV036,340207.894,6378682.56,2004,Odgers
HV037,347570.935,6373692.43,2004,Odgers
HV039,350063.354,6373137.12,2004,Odgers
HV040,335619.054,6369325.75,2004,Odgers
HV041,339460.113,6378891.21,2004,Odgers
HV042,337685.133,6374888.57,2004,Odgers
HV044,349034.103,6374891.47,2004,Odgers
HV045,345880.647,6374288.46,2004,Odgers
HV046,337758.752,6380880.94,2004,Odgers
HV047,337728.738,6379790.25,2004,Odgers
HV048,341533.173,6377297.54,2004,Odgers
HV049,343260.346,6367492.21,2004,Odgers
HV050,348780.14,6371575,2004,Odgers
HV051,342125.694,6374288.17,2004,Odgers
HV052,341408.228,6376786.49,2004,Odgers
HV054,339131.963,6368092.5,2004,Odgers
HV055,344138.666,6382287.24,2004,Odgers
HV056,342198.304,6381278.47,2004,Odgers
HV057,337530.106,6377087.54,2004,Odgers
HV059,337082.681,6375791.46,2004,Odgers
HV060,337131.408,6367585.08,2004,Odgers
HV061,349732.882,6371080.47,2004,Odgers
HV062,346381.329,6378084.62,2004,Odgers
HV063,338631.595,6371383.84,2004,Odgers
HV065,338905.159,6372882.2,2004,Odgers
HV066,344525.273,6379875.64,2004,Odgers
HV067,340875.798,6370890.01,2004,Odgers
HV068,334579.224,6375787.75,2004,Odgers
HV069,337812.531,6373288.05,2004,Odgers
HV070,344156.529,6370586.17,2004,Odgers
HV071,339810.743,6379590.02,2004,Odgers
HV073,348226.616,6376279.82,2004,Odgers
HV074,338776.716,6371389.53,2004,Odgers
HV075,347855.914,6376983.9,2004,Odgers
HV077,340509.238,6377782.43,2004,Odgers
HV078,343079.178,6367991.74,2004,Odgers
HV079,341711.693,6376683.76,2004,Odgers
HV080,344910.364,6371080.44,2004,Odgers
HV081,343626.967,6374286.45,2004,Odgers
HV084,342724.937,6367182.05,2004,Odgers
HV085,346229.318,6377186.19,2004,Odgers
HV086,343658.662,6373583.82,2004,Odgers
HV088,344904.493,6377387.38,2004,Odgers
HV090,344028.431,6368490.29,2004,Odgers
HV091,337632.208,6371883.23,2004,Odgers
HV093,343775.905,6365918.87,2004,Odgers
HV094,339578.475,6367586.25,2004,Odgers
HV095,336499.044,6377195.93,2004,Odgers
HV096,350307.542,6375581.71,2004,Odgers
HV097,343735.843,6366972.94,2004,Odgers
HV099,343882.778,6373989.93,2004,Odgers
HV100,336596.403,6379084.06,2004,Odgers
HV102,349775.102,6372249.99,2004,Odgers
