X_REF,Y_REF,elevation,yield,ECs,ECd
874405.246,6550114.78,127.105782,3.02838659,7.86380039,7.47908157
874415.246,6550114.78,127.181104,3.0204022,6.15195551,6.81284636
874425.246,6550114.78,127.278109,3.01768506,5.30309175,5.85022429
874435.246,6550114.78,127.441747,3.22395865,5.72555793,5.86733191
874445.246,6550114.78,127.513329,3.43140569,5.5371504,5.83625895
874455.246,6550114.78,127.553307,3.58730061,5.72326817,5.99023115
874465.246,6550114.78,127.492778,3.704247,5.67618868,6.32708738
874475.246,6550114.78,127.398626,3.7562458,5.75730797,6.66326763
874405.246,6550104.78,127.127655,3.05634574,7.29763264,7.81402347
874415.246,6550104.78,127.163737,3.0169609,5.73466881,6.79535982
874425.246,6550104.78,127.2384,3.11291629,5.39876379,5.90323201
874435.246,6550104.78,127.402464,3.29896902,5.6177431,5.64753971
874445.246,6550104.78,127.494811,3.50282575,5.3863609,6.10873675
874455.246,6550104.78,127.497295,3.66310079,5.75632932,5.77824498
874465.246,6550104.78,127.446714,3.78774176,5.66654735,5.86340211
874475.246,6550104.78,127.35935,3.86136211,5.85836175,6.58062681
874485.246,6550104.78,127.220127,3.89370054,6.6010584,6.84227309
874495.246,6550104.78,127.06858,3.8873201,6.96035167,6.65614175
874505.246,6550104.78,126.944388,3.7884615,6.90944972,6.50089591
874515.246,6550104.78,126.85607,3.55462652,7.32299941,6.59973832
874395.246,6550094.78,127.104203,3.54107375,8.62254254,10.2055328
874405.246,6550094.78,127.126302,2.97915588,7.80980503,8.76836186
874415.246,6550094.78,127.189901,2.86939154,6.19572786,6.52486328
874425.246,6550094.78,127.294806,3.18101396,5.4431068,5.74235842
874435.246,6550094.78,127.453262,3.37636606,5.82756939,5.77044961
874445.246,6550094.78,127.522815,3.58643976,5.4888568,6.10580526
874455.246,6550094.78,127.489617,3.90063749,5.8303673,5.92090909
874465.246,6550094.78,127.411268,3.9783613,6.04632107,5.87414196
874475.246,6550094.78,127.293904,3.91118345,6.61321553,6.20540074
874485.246,6550094.78,127.148402,3.9428744,7.15620634,6.87272033
874495.246,6550094.78,127.003659,4.11117962,7.40895942,6.79040102
874505.246,6550094.78,126.884004,4.15253919,7.40607049,6.34229062
874515.246,6550094.78,126.788501,3.66834277,7.61667559,6.64928945
874525.246,6550094.78,126.707892,3.47102521,7.5251444,6.85172195
874535.246,6550094.78,126.669172,3.37268782,7.80574499,7.39504366
874545.246,6550094.78,126.669848,3.31368214,8.21761483,8.04048979
874555.246,6550094.78,126.673449,3.4544733,7.72877209,7.60563941
874565.246,6550094.78,126.65049,3.53979919,7.26908192,7.38543635
874395.246,6550084.78,127.124047,3.35298167,9.12647929,10.1687572
874405.246,6550084.78,127.154265,2.94020704,8.28585629,8.60677772
