FID,X_REF,Y_REF
0,874406.73,6550116.26
1,874468.953,6550103.02
2,874531.176,6550089.79
3,874393.497,6550054.03
4,874455.719,6550040.8
5,874517.943,6550027.57
6,874380.263,6549991.81
7,874442.487,6549978.58
8,874504.71,6549965.34
9,874367.031,6549929.59
10,874593.4,6550076.56
11,874655.623,6550063.33
12,874717.846,6550050.09
13,874780.069,6550036.86
14,874580.166,6550014.33
15,874642.39,6550001.1
16,874704.613,6549987.87
17,874766.836,6549974.64
18,874566.933,6549952.11
19,874629.157,6549938.88
20,874691.38,6549925.65
21,874753.603,6549912.41
22,874678.146,6549863.42
23,874740.37,6549850.19
24,874842.292,6550023.63
25,874904.516,6550010.39
26,874966.739,6549997.16
27,874829.059,6549961.4
28,874891.283,6549948.17
29,874953.506,6549934.94
30,875015.729,6549921.7
31,874815.826,6549899.18
32,874878.05,6549885.95
33,874940.273,6549872.71
34,874802.593,6549836.96
35,874864.817,6549823.72
36,875028.963,6549983.93
37,875091.186,6549970.69
38,875153.409,6549957.46
39,875215.632,6549944.23
40,875077.953,6549908.47
41,875140.176,6549895.24
42,875202.4,6549882
43,875002.497,6549859.48
44,875064.719,6549846.25
45,875126.943,6549833.01
46,875189.166,6549819.78
47,875113.71,6549770.79
48,875175.933,6549757.56
49,875277.856,6549930.99
50,875340.079,6549917.76
51,875402.303,6549904.53
52,875264.623,6549868.77
53,875326.846,6549855.54
54,875389.069,6549842.3
55,875251.39,6549806.55
56,875313.613,6549793.31
57,875375.836,6549780.08
58,875238.156,6549744.32
59,875362.603,6549717.86
60,874429.253,6549916.35
61,874491.477,6549903.12
62,874353.797,6549867.36
63,874416.02,6549854.13
64,874478.244,6549840.9
65,874340.564,6549805.14
66,874402.787,6549791.91
67,874465.01,6549778.68
68,874327.331,6549742.92
69,874389.554,6549729.68
70,874451.777,6549716.45
71,874376.321,6549667.46
72,874553.7,6549889.89
73,874615.923,6549876.65
74,874540.467,6549827.67
75,874602.691,6549814.43
76,874664.913,6549801.2
77,874727.137,6549787.97
78,874527.234,6549765.44
79,874589.457,6549752.21
80,874651.681,6549738.97
81,874713.904,6549725.74
82,874514,6549703.22
83,874576.224,6549689.99
84,874638.447,6549676.75
85,874500.768,6549640.99
86,874562.99,6549627.76
87,874927.04,6549810.49
88,874789.36,6549774.73
